Biosample term name	File accession	File download URL
T-cell	ENCFF981ZKV	https://www.encodeproject.org/files/ENCFF981ZKV/@@download/ENCFF981ZKV.bam
effector memory CD4-positive, alpha-beta T cell	ENCFF051SBE	https://www.encodeproject.org/files/ENCFF051SBE/@@download/ENCFF051SBE.bam
CD8-positive naive resting alpha-beta T cell	ENCFF681ADS	https://www.encodeproject.org/files/ENCFF681ADS/@@download/ENCFF681ADS.bam
ovary	ENCFF469OPW	https://www.encodeproject.org/files/ENCFF469OPW/@@download/ENCFF469OPW.bam
T-cell	ENCFF706FLY	https://www.encodeproject.org/files/ENCFF706FLY/@@download/ENCFF706FLY.bam
activated CD4-positive, alpha-beta T cell	ENCFF914LVY	https://www.encodeproject.org/files/ENCFF914LVY/@@download/ENCFF914LVY.bam
T-cell	ENCFF117QJK	https://www.encodeproject.org/files/ENCFF117QJK/@@download/ENCFF117QJK.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF879URM	https://www.encodeproject.org/files/ENCFF879URM/@@download/ENCFF879URM.bam
CD4-positive naive resting alpha-beta T cell	ENCFF318ASZ	https://www.encodeproject.org/files/ENCFF318ASZ/@@download/ENCFF318ASZ.bam
activated CD4-positive, alpha-beta T cell	ENCFF284MNR	https://www.encodeproject.org/files/ENCFF284MNR/@@download/ENCFF284MNR.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF146HPZ	https://www.encodeproject.org/files/ENCFF146HPZ/@@download/ENCFF146HPZ.bam
activated CD4-positive, alpha-beta T cell	ENCFF703JFK	https://www.encodeproject.org/files/ENCFF703JFK/@@download/ENCFF703JFK.bam
T-helper 17 cell	ENCFF572HTW	https://www.encodeproject.org/files/ENCFF572HTW/@@download/ENCFF572HTW.bam
ELF-1	ENCFF805ZGK	https://www.encodeproject.org/files/ENCFF805ZGK/@@download/ENCFF805ZGK.bam
T-cell	ENCFF795XYW	https://www.encodeproject.org/files/ENCFF795XYW/@@download/ENCFF795XYW.bam
RCC	ENCFF872SLP,ENCFF584VOD	https://www.encodeproject.org/files/ENCFF872SLP/@@download/ENCFF872SLP.bam
RCC	ENCFF872SLP,ENCFF584VOD	https://www.encodeproject.org/files/ENCFF584VOD/@@download/ENCFF584VOD.bam
head of caudate nucleus	ENCFF180MZE	https://www.encodeproject.org/files/ENCFF180MZE/@@download/ENCFF180MZE.bam
WTC11	ENCFF365DPJ,ENCFF289QMY	https://www.encodeproject.org/files/ENCFF365DPJ/@@download/ENCFF365DPJ.bam
WTC11	ENCFF365DPJ,ENCFF289QMY	https://www.encodeproject.org/files/ENCFF289QMY/@@download/ENCFF289QMY.bam
head of caudate nucleus	ENCFF155XJT	https://www.encodeproject.org/files/ENCFF155XJT/@@download/ENCFF155XJT.bam
nephron progenitor cell	ENCFF803FWZ,ENCFF576RND	https://www.encodeproject.org/files/ENCFF803FWZ/@@download/ENCFF803FWZ.bam
nephron progenitor cell	ENCFF803FWZ,ENCFF576RND	https://www.encodeproject.org/files/ENCFF576RND/@@download/ENCFF576RND.bam
head of caudate nucleus	ENCFF102JBS	https://www.encodeproject.org/files/ENCFF102JBS/@@download/ENCFF102JBS.bam
retina	ENCFF300DIY,ENCFF634TLM	https://www.encodeproject.org/files/ENCFF300DIY/@@download/ENCFF300DIY.bam
retina	ENCFF300DIY,ENCFF634TLM	https://www.encodeproject.org/files/ENCFF634TLM/@@download/ENCFF634TLM.bam
8988T	ENCFF590FGE	https://www.encodeproject.org/files/ENCFF590FGE/@@download/ENCFF590FGE.bam
middle frontal area 46	ENCFF478VYV	https://www.encodeproject.org/files/ENCFF478VYV/@@download/ENCFF478VYV.bam
posterior cingulate gyrus	ENCFF822ROG	https://www.encodeproject.org/files/ENCFF822ROG/@@download/ENCFF822ROG.bam
head of caudate nucleus	ENCFF273DTI	https://www.encodeproject.org/files/ENCFF273DTI/@@download/ENCFF273DTI.bam
cardiac fibroblast	ENCFF828UUD	https://www.encodeproject.org/files/ENCFF828UUD/@@download/ENCFF828UUD.bam
colonic mucosa	ENCFF848KXU	https://www.encodeproject.org/files/ENCFF848KXU/@@download/ENCFF848KXU.bam
K562	ENCFF499RRW	https://www.encodeproject.org/files/ENCFF499RRW/@@download/ENCFF499RRW.bam
posterior cingulate gyrus	ENCFF198PTT	https://www.encodeproject.org/files/ENCFF198PTT/@@download/ENCFF198PTT.bam
SJCRH30	ENCFF341VJH,ENCFF615UCM	https://www.encodeproject.org/files/ENCFF341VJH/@@download/ENCFF341VJH.bam
SJCRH30	ENCFF341VJH,ENCFF615UCM	https://www.encodeproject.org/files/ENCFF615UCM/@@download/ENCFF615UCM.bam
posterior cingulate gyrus	ENCFF460BXN	https://www.encodeproject.org/files/ENCFF460BXN/@@download/ENCFF460BXN.bam
posterior cingulate gyrus	ENCFF225BIE	https://www.encodeproject.org/files/ENCFF225BIE/@@download/ENCFF225BIE.bam
posterior cingulate gyrus	ENCFF163WEQ	https://www.encodeproject.org/files/ENCFF163WEQ/@@download/ENCFF163WEQ.bam
putamen	ENCFF607EJH	https://www.encodeproject.org/files/ENCFF607EJH/@@download/ENCFF607EJH.bam
RWPE2	ENCFF827EFI,ENCFF346MAI	https://www.encodeproject.org/files/ENCFF827EFI/@@download/ENCFF827EFI.bam
RWPE2	ENCFF827EFI,ENCFF346MAI	https://www.encodeproject.org/files/ENCFF346MAI/@@download/ENCFF346MAI.bam
heart right ventricle	ENCFF140AYU	https://www.encodeproject.org/files/ENCFF140AYU/@@download/ENCFF140AYU.bam
right cardiac atrium	ENCFF174QIK	https://www.encodeproject.org/files/ENCFF174QIK/@@download/ENCFF174QIK.bam
heart left ventricle	ENCFF852AVB	https://www.encodeproject.org/files/ENCFF852AVB/@@download/ENCFF852AVB.bam
heart right ventricle	ENCFF170CRK	https://www.encodeproject.org/files/ENCFF170CRK/@@download/ENCFF170CRK.bam
head of caudate nucleus	ENCFF809INQ	https://www.encodeproject.org/files/ENCFF809INQ/@@download/ENCFF809INQ.bam
head of caudate nucleus	ENCFF851JVV	https://www.encodeproject.org/files/ENCFF851JVV/@@download/ENCFF851JVV.bam
head of caudate nucleus	ENCFF082DXG	https://www.encodeproject.org/files/ENCFF082DXG/@@download/ENCFF082DXG.bam
middle frontal area 46	ENCFF756PFB	https://www.encodeproject.org/files/ENCFF756PFB/@@download/ENCFF756PFB.bam
middle frontal area 46	ENCFF468XHC	https://www.encodeproject.org/files/ENCFF468XHC/@@download/ENCFF468XHC.bam
T-helper 17 cell	ENCFF274KXI	https://www.encodeproject.org/files/ENCFF274KXI/@@download/ENCFF274KXI.bam
right kidney	ENCFF153ORO	https://www.encodeproject.org/files/ENCFF153ORO/@@download/ENCFF153ORO.bam
BE2C	ENCFF207VJN,ENCFF686HCE	https://www.encodeproject.org/files/ENCFF207VJN/@@download/ENCFF207VJN.bam
BE2C	ENCFF207VJN,ENCFF686HCE	https://www.encodeproject.org/files/ENCFF686HCE/@@download/ENCFF686HCE.bam
GM03348	ENCFF807INY	https://www.encodeproject.org/files/ENCFF807INY/@@download/ENCFF807INY.bam
head of caudate nucleus	ENCFF952MYR	https://www.encodeproject.org/files/ENCFF952MYR/@@download/ENCFF952MYR.bam
heart left ventricle	ENCFF676NHC	https://www.encodeproject.org/files/ENCFF676NHC/@@download/ENCFF676NHC.bam
hepatic stellate cell	ENCFF450TQE	https://www.encodeproject.org/files/ENCFF450TQE/@@download/ENCFF450TQE.bam
HK-2	ENCFF921UJC	https://www.encodeproject.org/files/ENCFF921UJC/@@download/ENCFF921UJC.bam
B cell	ENCFF047WQS	https://www.encodeproject.org/files/ENCFF047WQS/@@download/ENCFF047WQS.bam
psoas muscle	ENCFF402FWE	https://www.encodeproject.org/files/ENCFF402FWE/@@download/ENCFF402FWE.bam
lung	ENCFF726FOO	https://www.encodeproject.org/files/ENCFF726FOO/@@download/ENCFF726FOO.bam
brain	ENCFF021ZDN	https://www.encodeproject.org/files/ENCFF021ZDN/@@download/ENCFF021ZDN.bam
SJCRH30	ENCFF610BTY	https://www.encodeproject.org/files/ENCFF610BTY/@@download/ENCFF610BTY.bam
hematopoietic multipotent progenitor cell	ENCFF286KAC	https://www.encodeproject.org/files/ENCFF286KAC/@@download/ENCFF286KAC.bam
posterior cingulate gyrus	ENCFF805OQR	https://www.encodeproject.org/files/ENCFF805OQR/@@download/ENCFF805OQR.bam
posterior cingulate gyrus	ENCFF149JAB	https://www.encodeproject.org/files/ENCFF149JAB/@@download/ENCFF149JAB.bam
middle frontal area 46	ENCFF319ECG	https://www.encodeproject.org/files/ENCFF319ECG/@@download/ENCFF319ECG.bam
middle frontal area 46	ENCFF003TLE	https://www.encodeproject.org/files/ENCFF003TLE/@@download/ENCFF003TLE.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF002RNA	https://www.encodeproject.org/files/ENCFF002RNA/@@download/ENCFF002RNA.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF671QXY	https://www.encodeproject.org/files/ENCFF671QXY/@@download/ENCFF671QXY.bam
T-cell	ENCFF705PIE	https://www.encodeproject.org/files/ENCFF705PIE/@@download/ENCFF705PIE.bam
activated CD4-positive, alpha-beta T cell	ENCFF550ZQO	https://www.encodeproject.org/files/ENCFF550ZQO/@@download/ENCFF550ZQO.bam
activated CD4-positive, alpha-beta T cell	ENCFF205JNS	https://www.encodeproject.org/files/ENCFF205JNS/@@download/ENCFF205JNS.bam
activated CD4-positive, alpha-beta T cell	ENCFF049YCV	https://www.encodeproject.org/files/ENCFF049YCV/@@download/ENCFF049YCV.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF109FXC	https://www.encodeproject.org/files/ENCFF109FXC/@@download/ENCFF109FXC.bam
GM19240	ENCFF437NVY	https://www.encodeproject.org/files/ENCFF437NVY/@@download/ENCFF437NVY.bam
lung	ENCFF839YQK	https://www.encodeproject.org/files/ENCFF839YQK/@@download/ENCFF839YQK.bam
head of caudate nucleus	ENCFF363SRV	https://www.encodeproject.org/files/ENCFF363SRV/@@download/ENCFF363SRV.bam
head of caudate nucleus	ENCFF634PPQ	https://www.encodeproject.org/files/ENCFF634PPQ/@@download/ENCFF634PPQ.bam
T47D	ENCFF002IRA	https://www.encodeproject.org/files/ENCFF002IRA/@@download/ENCFF002IRA.bam
osteoblast	ENCFF977LFT	https://www.encodeproject.org/files/ENCFF977LFT/@@download/ENCFF977LFT.bam
NAMALWA	ENCFF329MCU,ENCFF008UNA	https://www.encodeproject.org/files/ENCFF329MCU/@@download/ENCFF329MCU.bam
NAMALWA	ENCFF329MCU,ENCFF008UNA	https://www.encodeproject.org/files/ENCFF008UNA/@@download/ENCFF008UNA.bam
head of caudate nucleus	ENCFF708QWX	https://www.encodeproject.org/files/ENCFF708QWX/@@download/ENCFF708QWX.bam
posterior cingulate gyrus	ENCFF110YRD	https://www.encodeproject.org/files/ENCFF110YRD/@@download/ENCFF110YRD.bam
posterior cingulate gyrus	ENCFF132GVA	https://www.encodeproject.org/files/ENCFF132GVA/@@download/ENCFF132GVA.bam
posterior cingulate gyrus	ENCFF077JEO	https://www.encodeproject.org/files/ENCFF077JEO/@@download/ENCFF077JEO.bam
head of caudate nucleus	ENCFF401MRW	https://www.encodeproject.org/files/ENCFF401MRW/@@download/ENCFF401MRW.bam
CD4-positive naive resting alpha-beta T cell	ENCFF595ESC	https://www.encodeproject.org/files/ENCFF595ESC/@@download/ENCFF595ESC.bam
head of caudate nucleus	ENCFF509IOI	https://www.encodeproject.org/files/ENCFF509IOI/@@download/ENCFF509IOI.bam
CD4-positive, alpha-beta T cell	ENCFF684APB	https://www.encodeproject.org/files/ENCFF684APB/@@download/ENCFF684APB.bam
CD4-positive, alpha-beta T cell	ENCFF136ICW	https://www.encodeproject.org/files/ENCFF136ICW/@@download/ENCFF136ICW.bam
T-cell	ENCFF427HML	https://www.encodeproject.org/files/ENCFF427HML/@@download/ENCFF427HML.bam
CD4-positive, alpha-beta T cell	ENCFF769PML	https://www.encodeproject.org/files/ENCFF769PML/@@download/ENCFF769PML.bam
activated T-cell	ENCFF113GEC	https://www.encodeproject.org/files/ENCFF113GEC/@@download/ENCFF113GEC.bam
head of caudate nucleus	ENCFF952GEE	https://www.encodeproject.org/files/ENCFF952GEE/@@download/ENCFF952GEE.bam
activated CD4-positive, alpha-beta T cell	ENCFF384BFM	https://www.encodeproject.org/files/ENCFF384BFM/@@download/ENCFF384BFM.bam
CD8-positive, alpha-beta T cell	ENCFF118HHW	https://www.encodeproject.org/files/ENCFF118HHW/@@download/ENCFF118HHW.bam
mesothelial cell of epicardium	ENCFF185PRA	https://www.encodeproject.org/files/ENCFF185PRA/@@download/ENCFF185PRA.bam
CD8-positive, alpha-beta T cell	ENCFF815VMU	https://www.encodeproject.org/files/ENCFF815VMU/@@download/ENCFF815VMU.bam
activated CD4-positive, alpha-beta T cell	ENCFF308DWC	https://www.encodeproject.org/files/ENCFF308DWC/@@download/ENCFF308DWC.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF442OAC	https://www.encodeproject.org/files/ENCFF442OAC/@@download/ENCFF442OAC.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF767NHF	https://www.encodeproject.org/files/ENCFF767NHF/@@download/ENCFF767NHF.bam
effector CD4-positive, alpha-beta T cell	ENCFF592KGP	https://www.encodeproject.org/files/ENCFF592KGP/@@download/ENCFF592KGP.bam
CD4-positive, alpha-beta T cell	ENCFF469KSX	https://www.encodeproject.org/files/ENCFF469KSX/@@download/ENCFF469KSX.bam
T-cell	ENCFF667PKE	https://www.encodeproject.org/files/ENCFF667PKE/@@download/ENCFF667PKE.bam
activated CD4-positive, alpha-beta T cell	ENCFF919KGU	https://www.encodeproject.org/files/ENCFF919KGU/@@download/ENCFF919KGU.bam
effector memory CD4-positive, alpha-beta T cell	ENCFF414ALB	https://www.encodeproject.org/files/ENCFF414ALB/@@download/ENCFF414ALB.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF578MZO	https://www.encodeproject.org/files/ENCFF578MZO/@@download/ENCFF578MZO.bam
activated CD4-positive, alpha-beta T cell	ENCFF016BFJ	https://www.encodeproject.org/files/ENCFF016BFJ/@@download/ENCFF016BFJ.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF454YBZ	https://www.encodeproject.org/files/ENCFF454YBZ/@@download/ENCFF454YBZ.bam
activated CD4-positive, alpha-beta T cell	ENCFF943FAZ	https://www.encodeproject.org/files/ENCFF943FAZ/@@download/ENCFF943FAZ.bam
activated T-cell	ENCFF393HPE	https://www.encodeproject.org/files/ENCFF393HPE/@@download/ENCFF393HPE.bam
activated CD4-positive, alpha-beta T cell	ENCFF009GCX	https://www.encodeproject.org/files/ENCFF009GCX/@@download/ENCFF009GCX.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF540SZS	https://www.encodeproject.org/files/ENCFF540SZS/@@download/ENCFF540SZS.bam
activated CD4-positive, alpha-beta T cell	ENCFF836TZQ	https://www.encodeproject.org/files/ENCFF836TZQ/@@download/ENCFF836TZQ.bam
T-cell	ENCFF487YEF	https://www.encodeproject.org/files/ENCFF487YEF/@@download/ENCFF487YEF.bam
head of caudate nucleus	ENCFF669ITY	https://www.encodeproject.org/files/ENCFF669ITY/@@download/ENCFF669ITY.bam
activated CD4-positive, alpha-beta T cell	ENCFF770GKE	https://www.encodeproject.org/files/ENCFF770GKE/@@download/ENCFF770GKE.bam
middle frontal area 46	ENCFF662GBW	https://www.encodeproject.org/files/ENCFF662GBW/@@download/ENCFF662GBW.bam
activated CD4-positive, alpha-beta T cell	ENCFF998UXH	https://www.encodeproject.org/files/ENCFF998UXH/@@download/ENCFF998UXH.bam
T-cell	ENCFF886JAW	https://www.encodeproject.org/files/ENCFF886JAW/@@download/ENCFF886JAW.bam
activated CD4-positive, alpha-beta T cell	ENCFF196FQY	https://www.encodeproject.org/files/ENCFF196FQY/@@download/ENCFF196FQY.bam
CD8-positive, alpha-beta T cell	ENCFF839LLS	https://www.encodeproject.org/files/ENCFF839LLS/@@download/ENCFF839LLS.bam
activated CD4-positive, alpha-beta T cell	ENCFF547PAQ	https://www.encodeproject.org/files/ENCFF547PAQ/@@download/ENCFF547PAQ.bam
CD4-positive, alpha-beta T cell	ENCFF203XGP	https://www.encodeproject.org/files/ENCFF203XGP/@@download/ENCFF203XGP.bam
T-cell	ENCFF144VCO	https://www.encodeproject.org/files/ENCFF144VCO/@@download/ENCFF144VCO.bam
T-cell	ENCFF396HLB	https://www.encodeproject.org/files/ENCFF396HLB/@@download/ENCFF396HLB.bam
activated CD4-positive, alpha-beta T cell	ENCFF119QMG	https://www.encodeproject.org/files/ENCFF119QMG/@@download/ENCFF119QMG.bam
activated CD4-positive, alpha-beta T cell	ENCFF957XAI	https://www.encodeproject.org/files/ENCFF957XAI/@@download/ENCFF957XAI.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF854KUN	https://www.encodeproject.org/files/ENCFF854KUN/@@download/ENCFF854KUN.bam
activated CD8-positive, alpha-beta memory T cell	ENCFF274OZI	https://www.encodeproject.org/files/ENCFF274OZI/@@download/ENCFF274OZI.bam
activated CD4-positive, alpha-beta T cell	ENCFF189ITA	https://www.encodeproject.org/files/ENCFF189ITA/@@download/ENCFF189ITA.bam
activated CD4-positive, alpha-beta T cell	ENCFF546AOM	https://www.encodeproject.org/files/ENCFF546AOM/@@download/ENCFF546AOM.bam
T-cell	ENCFF684IEK	https://www.encodeproject.org/files/ENCFF684IEK/@@download/ENCFF684IEK.bam
central memory CD4-positive, alpha-beta T cell	ENCFF975JZF	https://www.encodeproject.org/files/ENCFF975JZF/@@download/ENCFF975JZF.bam
activated CD4-positive, alpha-beta T cell	ENCFF422HYF	https://www.encodeproject.org/files/ENCFF422HYF/@@download/ENCFF422HYF.bam
T-helper 17 cell	ENCFF686FAI	https://www.encodeproject.org/files/ENCFF686FAI/@@download/ENCFF686FAI.bam
CD8-positive naive resting alpha-beta T cell	ENCFF412VJK	https://www.encodeproject.org/files/ENCFF412VJK/@@download/ENCFF412VJK.bam
KBM-7	ENCFF919CXW,ENCFF747BBS	https://www.encodeproject.org/files/ENCFF919CXW/@@download/ENCFF919CXW.bam
KBM-7	ENCFF919CXW,ENCFF747BBS	https://www.encodeproject.org/files/ENCFF747BBS/@@download/ENCFF747BBS.bam
activated T-cell	ENCFF220NXS	https://www.encodeproject.org/files/ENCFF220NXS/@@download/ENCFF220NXS.bam
posterior cingulate gyrus	ENCFF720PPE	https://www.encodeproject.org/files/ENCFF720PPE/@@download/ENCFF720PPE.bam
activated CD4-positive, alpha-beta T cell	ENCFF272YEO	https://www.encodeproject.org/files/ENCFF272YEO/@@download/ENCFF272YEO.bam
T-cell	ENCFF870LIJ	https://www.encodeproject.org/files/ENCFF870LIJ/@@download/ENCFF870LIJ.bam
activated T-cell	ENCFF456AWU	https://www.encodeproject.org/files/ENCFF456AWU/@@download/ENCFF456AWU.bam
T-cell	ENCFF997EIL	https://www.encodeproject.org/files/ENCFF997EIL/@@download/ENCFF997EIL.bam
CD4-positive, alpha-beta T cell	ENCFF788ANY	https://www.encodeproject.org/files/ENCFF788ANY/@@download/ENCFF788ANY.bam
activated CD4-positive, alpha-beta T cell	ENCFF809WRL	https://www.encodeproject.org/files/ENCFF809WRL/@@download/ENCFF809WRL.bam
heart right ventricle	ENCFF072ZMZ	https://www.encodeproject.org/files/ENCFF072ZMZ/@@download/ENCFF072ZMZ.bam
DND-41	ENCFF633MBP,ENCFF385YUA	https://www.encodeproject.org/files/ENCFF633MBP/@@download/ENCFF633MBP.bam
DND-41	ENCFF633MBP,ENCFF385YUA	https://www.encodeproject.org/files/ENCFF385YUA/@@download/ENCFF385YUA.bam
HuH-7	ENCFF070RWR	https://www.encodeproject.org/files/ENCFF070RWR/@@download/ENCFF070RWR.bam
head of caudate nucleus	ENCFF902FDJ	https://www.encodeproject.org/files/ENCFF902FDJ/@@download/ENCFF902FDJ.bam
head of caudate nucleus	ENCFF322AWG	https://www.encodeproject.org/files/ENCFF322AWG/@@download/ENCFF322AWG.bam
EH	ENCFF128VZB,ENCFF233TZU	https://www.encodeproject.org/files/ENCFF128VZB/@@download/ENCFF128VZB.bam
EH	ENCFF128VZB,ENCFF233TZU	https://www.encodeproject.org/files/ENCFF233TZU/@@download/ENCFF233TZU.bam
head of caudate nucleus	ENCFF465EBU	https://www.encodeproject.org/files/ENCFF465EBU/@@download/ENCFF465EBU.bam
posterior cingulate gyrus	ENCFF935QSR	https://www.encodeproject.org/files/ENCFF935QSR/@@download/ENCFF935QSR.bam
middle frontal area 46	ENCFF994UXO	https://www.encodeproject.org/files/ENCFF994UXO/@@download/ENCFF994UXO.bam
head of caudate nucleus	ENCFF756OVV	https://www.encodeproject.org/files/ENCFF756OVV/@@download/ENCFF756OVV.bam
middle frontal area 46	ENCFF765QFD	https://www.encodeproject.org/files/ENCFF765QFD/@@download/ENCFF765QFD.bam
posterior cingulate gyrus	ENCFF076LJV	https://www.encodeproject.org/files/ENCFF076LJV/@@download/ENCFF076LJV.bam
head of caudate nucleus	ENCFF950SNY	https://www.encodeproject.org/files/ENCFF950SNY/@@download/ENCFF950SNY.bam
head of caudate nucleus	ENCFF553SBQ	https://www.encodeproject.org/files/ENCFF553SBQ/@@download/ENCFF553SBQ.bam
middle frontal area 46	ENCFF225OIF	https://www.encodeproject.org/files/ENCFF225OIF/@@download/ENCFF225OIF.bam
GM12891	ENCFF755VVY	https://www.encodeproject.org/files/ENCFF755VVY/@@download/ENCFF755VVY.bam
head of caudate nucleus	ENCFF136JAF	https://www.encodeproject.org/files/ENCFF136JAF/@@download/ENCFF136JAF.bam
head of caudate nucleus	ENCFF879HYT	https://www.encodeproject.org/files/ENCFF879HYT/@@download/ENCFF879HYT.bam
HT1080	ENCFF862UPO,ENCFF033IBX	https://www.encodeproject.org/files/ENCFF862UPO/@@download/ENCFF862UPO.bam
HT1080	ENCFF862UPO,ENCFF033IBX	https://www.encodeproject.org/files/ENCFF033IBX/@@download/ENCFF033IBX.bam
head of caudate nucleus	ENCFF718BFQ	https://www.encodeproject.org/files/ENCFF718BFQ/@@download/ENCFF718BFQ.bam
middle frontal area 46	ENCFF555CCE	https://www.encodeproject.org/files/ENCFF555CCE/@@download/ENCFF555CCE.bam
head of caudate nucleus	ENCFF028NFY	https://www.encodeproject.org/files/ENCFF028NFY/@@download/ENCFF028NFY.bam
head of caudate nucleus	ENCFF024HII	https://www.encodeproject.org/files/ENCFF024HII/@@download/ENCFF024HII.bam
Ishikawa	ENCFF050SLP	https://www.encodeproject.org/files/ENCFF050SLP/@@download/ENCFF050SLP.bam
middle frontal area 46	ENCFF336SAW	https://www.encodeproject.org/files/ENCFF336SAW/@@download/ENCFF336SAW.bam
tibial nerve	ENCFF188DKY	https://www.encodeproject.org/files/ENCFF188DKY/@@download/ENCFF188DKY.bam
adrenal gland	ENCFF739QZS	https://www.encodeproject.org/files/ENCFF739QZS/@@download/ENCFF739QZS.bam
right lobe of liver	ENCFF185BNQ	https://www.encodeproject.org/files/ENCFF185BNQ/@@download/ENCFF185BNQ.bam
globus pallidus	ENCFF686XUA,ENCFF627FWW	https://www.encodeproject.org/files/ENCFF686XUA/@@download/ENCFF686XUA.bam
globus pallidus	ENCFF686XUA,ENCFF627FWW	https://www.encodeproject.org/files/ENCFF627FWW/@@download/ENCFF627FWW.bam
heart right ventricle	ENCFF646EXY	https://www.encodeproject.org/files/ENCFF646EXY/@@download/ENCFF646EXY.bam
brain microvascular endothelial cell	ENCFF792DBH,ENCFF872WDT	https://www.encodeproject.org/files/ENCFF792DBH/@@download/ENCFF792DBH.bam
brain microvascular endothelial cell	ENCFF792DBH,ENCFF872WDT	https://www.encodeproject.org/files/ENCFF872WDT/@@download/ENCFF872WDT.bam
ovary	ENCFF084MAQ	https://www.encodeproject.org/files/ENCFF084MAQ/@@download/ENCFF084MAQ.bam
upper lobe of left lung	ENCFF459ABZ	https://www.encodeproject.org/files/ENCFF459ABZ/@@download/ENCFF459ABZ.bam
psoas muscle	ENCFF470GEE	https://www.encodeproject.org/files/ENCFF470GEE/@@download/ENCFF470GEE.bam
Caco-2	ENCFF096BEE,ENCFF129HBW	https://www.encodeproject.org/files/ENCFF096BEE/@@download/ENCFF096BEE.bam
Caco-2	ENCFF096BEE,ENCFF129HBW	https://www.encodeproject.org/files/ENCFF129HBW/@@download/ENCFF129HBW.bam
MCF-7	ENCFF244VNL	https://www.encodeproject.org/files/ENCFF244VNL/@@download/ENCFF244VNL.bam
activated CD4-positive, alpha-beta T cell	ENCFF176XGF	https://www.encodeproject.org/files/ENCFF176XGF/@@download/ENCFF176XGF.bam
keratinocyte	ENCFF478FRB	https://www.encodeproject.org/files/ENCFF478FRB/@@download/ENCFF478FRB.bam
Ishikawa	ENCFF028RJT	https://www.encodeproject.org/files/ENCFF028RJT/@@download/ENCFF028RJT.bam
spleen	ENCFF191QFX	https://www.encodeproject.org/files/ENCFF191QFX/@@download/ENCFF191QFX.bam
MCF-7	ENCFF145ZWL	https://www.encodeproject.org/files/ENCFF145ZWL/@@download/ENCFF145ZWL.bam
CD4-positive, alpha-beta T cell	ENCFF744BKK	https://www.encodeproject.org/files/ENCFF744BKK/@@download/ENCFF744BKK.bam
aorta	ENCFF397WGK	https://www.encodeproject.org/files/ENCFF397WGK/@@download/ENCFF397WGK.bam
head of caudate nucleus	ENCFF784UOH	https://www.encodeproject.org/files/ENCFF784UOH/@@download/ENCFF784UOH.bam
heart right ventricle	ENCFF810EZP	https://www.encodeproject.org/files/ENCFF810EZP/@@download/ENCFF810EZP.bam
thoracic aorta	ENCFF477PJL	https://www.encodeproject.org/files/ENCFF477PJL/@@download/ENCFF477PJL.bam
adrenal gland	ENCFF890BEY	https://www.encodeproject.org/files/ENCFF890BEY/@@download/ENCFF890BEY.bam
left lung	ENCFF875NSU	https://www.encodeproject.org/files/ENCFF875NSU/@@download/ENCFF875NSU.bam
pancreas	ENCFF910FWQ	https://www.encodeproject.org/files/ENCFF910FWQ/@@download/ENCFF910FWQ.bam
head of caudate nucleus	ENCFF803PBJ	https://www.encodeproject.org/files/ENCFF803PBJ/@@download/ENCFF803PBJ.bam
heart right ventricle	ENCFF746RHX	https://www.encodeproject.org/files/ENCFF746RHX/@@download/ENCFF746RHX.bam
head of caudate nucleus	ENCFF623LWY	https://www.encodeproject.org/files/ENCFF623LWY/@@download/ENCFF623LWY.bam
posterior cingulate gyrus	ENCFF506ICJ	https://www.encodeproject.org/files/ENCFF506ICJ/@@download/ENCFF506ICJ.bam
head of caudate nucleus	ENCFF100RAO	https://www.encodeproject.org/files/ENCFF100RAO/@@download/ENCFF100RAO.bam
NAMALWA	ENCFF497LCM,ENCFF824ZLB	https://www.encodeproject.org/files/ENCFF497LCM/@@download/ENCFF497LCM.bam
NAMALWA	ENCFF497LCM,ENCFF824ZLB	https://www.encodeproject.org/files/ENCFF824ZLB/@@download/ENCFF824ZLB.bam
EL	ENCFF039LXT	https://www.encodeproject.org/files/ENCFF039LXT/@@download/ENCFF039LXT.bam
astrocyte	ENCFF351XMO	https://www.encodeproject.org/files/ENCFF351XMO/@@download/ENCFF351XMO.bam
middle frontal area 46	ENCFF536LBU	https://www.encodeproject.org/files/ENCFF536LBU/@@download/ENCFF536LBU.bam
posterior cingulate gyrus	ENCFF255SSS	https://www.encodeproject.org/files/ENCFF255SSS/@@download/ENCFF255SSS.bam
posterior cingulate gyrus	ENCFF855FBI	https://www.encodeproject.org/files/ENCFF855FBI/@@download/ENCFF855FBI.bam
posterior cingulate gyrus	ENCFF975SQF	https://www.encodeproject.org/files/ENCFF975SQF/@@download/ENCFF975SQF.bam
middle frontal area 46	ENCFF216XFL	https://www.encodeproject.org/files/ENCFF216XFL/@@download/ENCFF216XFL.bam
